trial,coord,imagefilestim,clrop,correc,primcond,imagefileprim,primop,onstcond,onst,Exp_loop.thisRepN,Exp_loop.thisTrialN,Exp_loop.thisN,Exp_loop.thisIndex,Instruction_text.started,Instruction_text.stopped,Instruction_resp.keys,Instruction_resp.rt,Instruction_resp.started,Instruction_resp.stopped,Fixation.started,Fixation.stopped,Stimulusarrow.started,Stimulusarrow.stopped,Backmask.started,Backmask.stopped,Frontmask.started,Frontmask.stopped,Primerarrow.started,Primerarrow.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
19,"(-0.5, 0)",leftpurple.png,0.15,left,None,None,None,long,48,0,27,27,18,,,,,,,177.81963220005855,178.31096799997613,179.1611464000307,179.19438620004803,179.1443974999711,179.1611464000307,179.11109569994733,179.12781109986827,179.12781109986827,179.1443974999711,left,1,0.6750563001260161,179.1611464000307,177.81963220005855,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
38,"(-0.5, 0)",leftblue.png,0.15,None,None,None,None,short,24,0,28,28,37,,,,,,,179.8697744999081,180.36033129994757,180.81119160004891,180.84438239992596,180.79443800006993,180.81119160004891,180.76109759998508,180.77758260001428,180.77758260001428,180.79443800006993,None,1,,180.81119160004891,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
52,"(0.5, 0)",leftpurple.png,0.15,None,Oppcol,leftblue.png,0.15,short,24,0,29,29,51,,,,,,,182.32523730001412,182.82780950004235,183.27779640001245,183.3110634998884,183.26102450001054,183.27779640001245,183.227755199885,183.24429320008494,183.24429320008494,183.26102450001054,None,1,,183.27779640001245,182.32523730001412,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
6,"(-0.5, 0)",rightpurple.png,0.15,None,None,None,None,short,24,0,30,30,5,,,,,,,184.78511089994572,185.2777189000044,185.72779019991867,185.76121639995836,185.71108149993233,185.72779019991867,185.67781360005029,185.69438869995065,185.69438869995065,185.71108149993233,None,1,,185.72779019991867,184.78511089994572,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
31,"(0.5, 0)",leftblue.png,0.15,left,None,None,None,short,24,0,31,31,30,,,,,,,187.2421679000836,187.74440119997598,188.19437110004947,188.22775570000522,188.17772669997066,188.19437110004947,188.144386400003,188.1611019000411,188.1611019000411,188.17772669997066,None,0,,188.19437110004947,187.2421679000836,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
61,"(0.5, 0)",rightblue.png,0.15,None,Oppcol,rightpurple.png,0.15,short,24,0,32,32,60,,,,,,,189.69562519993633,190.19438449991867,190.64438880002126,190.67771740001626,190.627754899906,190.64438880002126,190.59447790007107,190.61113570001908,190.61113570001908,190.627754899906,None,1,,190.64438880002126,189.69562519993633,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
14,"(0.5, 0)",leftpurple.png,0.15,None,None,None,None,long,48,0,33,33,13,,,,,,,192.15303639997728,192.6608940998558,193.51099459989928,193.54438049998134,193.4944088999182,193.51099459989928,193.4610472000204,193.47754250001162,193.47754250001162,193.4944088999182,None,1,,193.51099459989928,192.15303639997728,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
20,"(-0.5, 0)",leftpurple.png,0.15,left,None,None,None,long,48,0,34,34,19,,,,,,,195.0252203999553,195.527724100044,196.3777852000203,196.41113719996065,196.3610835999716,196.3777852000203,196.3275488000363,196.34445049986243,196.34445049986243,196.3610835999716,left,1,1.0104624000377953,196.3777852000203,195.0252203999553,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
54,"(0.5, 0)",leftpurple.png,0.15,None,Oppcol,leftblue.png,0.15,long,48,0,35,35,53,,,,,,,197.41384809999727,197.9111390998587,198.76108129997738,198.7943452000618,198.74446539999917,198.76108129997738,198.7111084999051,198.72766850003973,198.72766850003973,198.74446539999917,None,1,,198.76108129997738,None,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
65,"(0.5, 0)",rightblue.png,0.15,None,Oppcol,rightpurple.png,0.15,long,48,0,36,36,64,,,,,,,200.2622674999293,200.76106709986925,201.61109600006603,201.64438849990256,201.59445860004053,201.61109600006603,201.56087659997866,201.57770889997482,201.57770889997482,201.59445860004053,None,1,,201.61109600006603,200.2622674999293,4,001,2021_Dec_01_1420,Final,2021.2.3,59.99923203192146,
